,screen_name
313,SebaOliveirajr
314,rosemodestoms
315,CelioStudart
316,FabioMitidieri_
317,AfonsoFlorence
318,PauloBengtson
319,zeguilherme_10
320,DepEdilazioJr
321,mariarosassp
322,lexandreleite
323,aureacarolinax
324,JulioCesarRib
325,RenataAbreu1919
326,Carlos_Gaguim
327,TiaEron
328,DEPZESILVA
329,AdolfoViana1
330,OttoAlencarFilh
331,HeitorSchuch
332,amaronetoreal
333,Biakicis
334,abou_anni
335,GiovaniFeltes
336,MajorVitorHugo
337,OtoniDepFederal
338,OLIVALMARQUES
339,_sergiosouza
340,JorielsonBrito
341,elidiasborges
342,orlandosilva
343,DepSostenes
344,coelho_rodrigo
345,delegado_waldir
346,paulomarinhojr
347,deputado_marlon
348,prisidorio
349,robertodelucena
350,FreiAnastacioAL
351,diegogarciapr
352,RafaelMottaRN
353,Igor_Kannario
354,alinegurgel_ap
355,AureoRibeiroRJ
356,depdimasfabiano
357,depstefano
358,pastorisidorio
359,SargentoFAHUR
360,lcm_motta
361,vivireispsol
362,RogerioCorreia_
363,depgurgel
364,silascamara_
365,luisa_canziani
366,filipebarrost
367,LuisMirandaUSA
368,boscosaraiva
369,PastorEurico
370,natbonavides
371,profmarcivania
372,_FabinhoRamalho
373,jhonatan_djesus
374,MiltonVieiraOfc
375,bilac_pinto
376,DF_PauloFreire
377,WladGarotinho
378,BoscoCosta_SE
379,deputadotoninho
380,geovaniadesa
381,andrepdt12
382,jrbozzella
383,DepDaniloForte
384,MargaretCoelho
385,gilcutrim
386,bulhoesjr
387,franciscojr_go
388,JoseMedeirosMT
389,chico_dangelo
390,rosangelasgomes
391,Vidigal12
392,marcospereira04
393,vicentinhojr
394,NeriGeller
395,DepGenecias
396,carlossampaio_
397,rejane_dias
398,MerlongSolano
399,Eduardo_Cury
400,BiradoPindare
401,Leandre4300
402,h_leite
403,LucianoDucci
404,sidneyleite_
405,glaustindafokus
406,deposiresdamaso
407,flavionoguera
408,TiagoMitraud
409,TerezaNelma_
410,paulaodopt
411,CharlesGbi
412,depleomonteiro
413,ricardozguidi
414,DepJefferson
415,DepLuizCarlos
416,depmaurolopes
417,greyceelias
418,santini_ronaldo
419,dep_eduardo
420,capitao_augusto
421,felipecarreras
422,fabiohenriquese
423,walteralvesrn
424,GuilhermeMussi
425,laurietecantora
426,junior_lourenco
427,WilsonSantiago_
428,DepJulioCesarPI
429,ZeRicardoAM
430,fabioreis_se
431,luizaogoulart
432,joicehasselmann
